Date,gdp_growth
2018-03-22,2.9
2018-03-23,2.9
2018-03-26,2.9
2018-03-27,2.9
2018-03-28,2.9
2018-03-29,2.9
2018-03-30,2.55
2018-04-02,2.55
2018-04-03,2.55
2018-04-04,2.55
2018-04-05,2.55
2018-04-06,2.9
2018-04-09,2.9
2018-04-10,2.9
2018-04-11,2.9
2018-04-12,2.9
2018-04-13,2.9
2018-04-16,2.9
2018-04-17,2.9
2018-04-18,2.9
2018-04-19,2.9
2018-04-20,2.9
2018-04-23,2.9
2018-04-24,2.9
2018-04-25,2.9
2018-04-26,2.9
2018-04-27,2.9
2018-04-30,2.9
2018-05-01,2.9
2018-05-02,2.9
2018-05-03,2.9
2018-05-04,2.9
2018-05-07,2.9
2018-05-08,2.9
2018-05-09,2.9
2018-05-10,2.9
2018-05-11,2.9
2018-05-14,2.9
2018-05-15,2.9
2018-05-16,2.9
2018-05-17,2.9
2018-05-18,2.9
2018-05-21,2.9
2018-05-22,2.9
2018-05-23,2.9
2018-05-24,2.9
2018-05-25,2.9
2018-05-28,2.9
2018-05-29,2.9
2018-05-30,2.9
2018-05-31,2.9
2018-06-01,2.9
2018-06-04,2.9
2018-06-05,2.9
2018-06-06,2.9
2018-06-07,2.9
2018-06-08,2.9
2018-06-11,2.9
2018-06-12,2.9
2018-06-13,2.9
2018-06-14,2.9
2018-06-15,2.9
2018-06-18,2.9
2018-06-19,2.9
2018-06-20,2.9
2018-06-21,2.9
2018-06-25,3
2018-06-26,3
2018-06-27,3
2018-06-28,3
2018-06-29,3
2018-07-02,3
2018-07-03,3
2018-07-04,3
2018-07-05,3
2018-07-06,3
2018-07-09,3
2018-07-10,3
2018-07-11,3
2018-07-12,3
2018-07-13,3
2018-07-16,3
2018-07-17,3
2018-07-18,3
2018-07-19,3
2018-07-20,3
2018-07-23,3
2018-07-24,3
2018-07-25,3
2018-07-26,3
2018-07-27,3
2018-07-30,3
2018-07-31,3
2018-08-01,3
2018-08-02,3
2018-08-03,3
2018-08-06,3
2018-08-07,3
2018-08-08,3
2018-08-09,3
2018-08-10,3
2018-08-13,3
2018-08-14,3
2018-08-15,3
2018-08-16,3
2018-08-17,3
2018-08-20,3
2018-08-21,3
2018-08-22,3
2018-08-23,3
2018-08-24,3
2018-08-27,3
2018-08-28,3
2018-08-29,3
2018-08-30,3
2018-08-31,3
2018-09-03,3
2018-09-04,3
2018-09-05,3
2018-09-06,3
2018-09-07,3
2018-09-10,3
2018-09-11,3
2018-09-12,3
2018-09-13,3
2018-09-14,3
2018-09-17,3
2018-09-18,3
2018-09-19,3
2018-09-20,3
2018-09-21,3
2018-09-24,2.6
2018-09-25,2.6
2018-09-26,2.6
2018-09-27,2.6
2018-09-28,2.6
2018-10-01,2.6
2018-10-02,2.6
2018-10-03,2.6
2018-10-04,2.6
2018-10-05,2.6
2018-10-08,2.2
2018-10-09,2.2
2018-10-10,2.2
2018-10-11,2.2
2018-10-12,2.2
2018-10-15,2.2
2018-10-16,2.2
2018-10-17,2.2
2018-10-18,2.2
2018-10-19,2.2
2018-10-22,2.2
2018-10-23,2.2
2018-10-24,2.2
2018-10-25,2.2
2018-10-26,2.2
2018-10-29,2.2
2018-10-30,2.2
2018-10-31,2.2
2018-11-01,2.2
2018-11-02,2.2
2018-11-05,2.2
2018-11-06,2.2
2018-11-07,2.2
2018-11-08,2.2
2018-11-09,2.2
2018-11-12,2.2
2018-11-13,2.2
2018-11-14,2.2
2018-11-15,2.2
2018-11-16,2.2
2018-11-19,2.2
2018-11-20,2.2
2018-11-21,2.2
2018-11-22,2.2
2018-11-23,2.2
2018-11-26,2.2
2018-11-27,2.2
2018-11-28,2.2
2018-11-29,2.2
2018-11-30,2.18
2018-12-03,2.18
2018-12-04,2.18
2018-12-05,2.18
2018-12-06,2.1
2018-12-07,2.1
2018-12-10,2.1
2018-12-11,2.1
2018-12-12,2.1
2018-12-13,2.1
2018-12-14,2
2018-12-17,2
2018-12-18,2
2018-12-19,2
2018-12-20,2
2018-12-21,2
2018-12-24,2
2018-12-25,1.9
2018-12-26,1.9
2018-12-27,1.9
2018-12-28,1.9
2018-12-31,1.9
2019-01-01,1.9
2019-01-02,1.9
2019-01-03,1.9
2019-01-04,1.9
2019-01-07,1.9
2019-01-08,1.9
2019-01-09,1.95
2019-01-10,1.95
2019-01-11,1.95
2019-01-14,1.95
2019-01-15,1.95
2019-01-16,1.95
2019-01-17,1.95
2019-01-18,1.95
2019-01-21,1.95
2019-01-22,1.95
2019-01-23,1.95
2019-01-24,1.95
2019-01-25,1.95
2019-01-28,1.95
2019-01-29,2
2019-01-30,2
2019-01-31,2
2019-02-01,2
2019-02-04,2
2019-02-05,2
2019-02-06,2
2019-02-07,2
2019-02-08,2
2019-02-11,2
2019-02-12,2
2019-02-13,2
2019-02-14,2.1
2019-02-15,2.1
2019-02-18,2.1
2019-02-19,2.1
2019-02-20,2.1
2019-02-21,2.1
2019-02-22,2.1
2019-02-25,2.1
2019-02-26,2.1
2019-02-27,2.1
2019-02-28,2.1
2019-03-01,2.1
2019-03-04,2.1
2019-03-05,2.1
2019-03-06,2.1
2019-03-07,2.1
2019-03-08,2.1
2019-03-11,2.1
2019-03-12,2.1
2019-03-13,2.1
2019-03-14,2.1
2019-03-15,2.1
2019-03-18,2.1
2019-03-19,2.1
2019-03-20,2.1
2019-03-21,2.1
2019-03-22,2.1
2019-03-25,2
2019-03-26,2
2019-03-27,2
2019-03-28,2
2019-03-29,2
2019-04-01,2
2019-04-02,2
2019-04-03,2
2019-04-04,2
2019-04-05,2
2019-04-08,2
2019-04-09,2
2019-04-10,2
2019-04-11,2
2019-04-12,2
2019-04-15,2
2019-04-16,2
2019-04-17,2
2019-04-18,2
2019-04-19,2
2019-04-22,2
2019-04-23,2
2019-04-24,2
2019-04-25,2
2019-04-26,2
2019-04-29,2
2019-04-30,2
2019-05-01,2
2019-05-02,2
2019-05-03,2
2019-05-06,2
2019-05-07,2
2019-05-08,2
2019-05-09,2
2019-05-10,2
2019-05-13,2
2019-05-14,2
2019-05-15,2
2019-05-16,2
2019-05-17,2
2019-05-20,2
2019-05-21,2
2019-05-22,2
2019-05-23,2
2019-05-24,2
2019-05-27,2
2019-05-28,2
2019-05-29,2
2019-05-30,2
2019-05-31,2
2019-06-03,2
2019-06-04,2
2019-06-05,2
2019-06-06,2
2019-06-07,2
2019-06-10,2
2019-06-11,2
2019-06-12,2
2019-06-13,2
2019-06-14,2
2019-06-17,2
2019-06-18,2
2019-06-19,2
2019-06-20,2
2019-06-21,2
2019-06-24,2.1
2019-06-25,2.1
2019-06-26,2
2019-06-27,2
2019-06-28,2
2019-07-01,2
2019-07-02,2
2019-07-03,2
2019-07-04,2
2019-07-05,2
2019-07-08,2
2019-07-09,2
2019-07-10,2
2019-07-11,2
2019-07-12,2
2019-07-15,2
2019-07-16,2
2019-07-17,2.05
2019-07-18,2.05
2019-07-19,2.05
2019-07-22,2.05
2019-07-23,2.05
2019-07-24,2.05
2019-07-25,2.05
2019-07-26,2.05
2019-07-29,2.05
2019-07-30,2.05
2019-07-31,2.05
2019-08-01,2.05
2019-08-02,2.05
2019-08-05,2.05
2019-08-06,2.05
2019-08-07,2.05
2019-08-08,2.1
2019-08-09,2.1
2019-08-12,2
2019-08-13,2
2019-08-14,2
2019-08-15,2
2019-08-16,1.9
2019-08-19,1.9
2019-08-20,1.9
2019-08-21,1.9
2019-08-22,1.9
2019-08-23,1.9
2019-08-26,1.9
2019-08-27,1.9
2019-08-28,1.9
2019-08-29,1.9
2019-08-30,1.9
2019-09-02,1.9
2019-09-03,1.9
2019-09-04,1.9
2019-09-05,1.9
2019-09-06,1.9
2019-09-09,1.9
2019-09-10,1.9
2019-09-11,1.9
2019-09-12,1.9
2019-09-13,1.9
2019-09-16,1.9
2019-09-17,1.9
2019-09-18,1.9
2019-09-19,1.9
2019-09-20,1.9
2019-09-23,1.9
2019-09-24,1.9
2019-09-25,1.9
2019-09-26,1.9
2019-09-27,1.9
2019-09-30,1.9
2019-10-01,1.9
2019-10-02,1.9
2019-10-03,1.9
2019-10-04,1.9
2019-10-07,1.9
2019-10-08,1.9
2019-10-09,1.9
2019-10-10,1.9
2019-10-11,1.9
